busqueda,farmacia,descripcion,precio_clp,precio_uf
paracetamol,Ahumada,Xumadol 1 g Sobres x 20 Sobres Con Granulado Efervescente,10095,0.31
paracetamol,Ahumada,Nastul Compuesto x 10 Comprimidos Recubiertos,5045,0.15
paracetamol,Ahumada,Winasorb 100 mg/mL x 25 mL Solución Oral para Gotas,7695,0.23
paracetamol,Ahumada,Trioval X 15 Ml Suspensión Oral Para Gotas,16095,0.49
paracetamol,Ahumada,Cortigrip Día Noche x 15 Comprimidos,3495,0.11
paracetamol,Ahumada,Trioval Sacht Dia Y Noche Caja 3 Sob,4295,0.13
paracetamol,Ahumada,Cortigrip x 10 Comprimidos,3295,0.1
paracetamol,Ahumada,Nastizol Dia-Noche x 18 Comprimidos,3795,0.11
paracetamol,Ahumada,Nastizol Compositum x 100 mL Jarabe,6746,0.2
paracetamol,Ahumada,Nastizol Compositum x 10 Comprimidos Recubiertos,3521,0.11
paracetamol,Ahumada,Trioval X 10 Comprimidos Recubiertos,6495,0.2
paracetamol,RedFarma,PARACETAMOL x16 COMPRIMIDOS 500MG,890,0.03
paracetamol,RedFarma,PARACETAMOL x6 SUPOSITORIOS 125 MG,1090,0.03
paracetamol,RedFarma,PARACETAMOL x20 COMPRIMIDOS DE 80 MG,1690,0.05
paracetamol,RedFarma,PARACETAMOL x16 COMPRIMIDOS DE 500 MG,890,0.03
paracetamol,RedFarma,DOLIDER 10 COMP.,2090,0.06
paracetamol,RedFarma,PARACETAMOL GOTAS ORALES 100MG/ML.15ML.       *,1090,0.03
paracetamol,RedFarma,"TRAMAVOLTA 37,5/325 x30 COMPRIMIDOS RECUBIERTOS",8090,0.24
paracetamol,RedFarma,KITADOL GOTAS 100MG/ML DE 15 ML,2990,0.09
paracetamol,RedFarma,PARACETAMOL x16 COMPRIMIDOS 500MG,890,0.03
paracetamol,RedFarma,PARACETAMOL x6 SUPOSITORIOS 125 MG,1090,0.03
paracetamol,RedFarma,PARACETAMOL x20 COMPRIMIDOS DE 80 MG,1690,0.05
paracetamol,RedFarma,PARACETAMOL x16 COMPRIMIDOS DE 500 MG,890,0.03
paracetamol,RedFarma,DOLIDER 10 COMP.,2090,0.06
paracetamol,RedFarma,PARACETAMOL GOTAS ORALES 100MG/ML.15ML.       *,1090,0.03
paracetamol,RedFarma,"TRAMAVOLTA 37,5/325 x30 COMPRIMIDOS RECUBIERTOS",8090,0.24
paracetamol,RedFarma,KITADOL GOTAS 100MG/ML DE 15 ML,2990,0.09
paracetamol,RedFarma,KITADOL ADULTO x24 COMPRIMIDOS DE 500 MG,1690,0.05
paracetamol,RedFarma,TAPSIN FORTE ANALGESICO COMPRIMIDOS RECIBIERTOS TAPA DE SEGURIDAD CHILDPROOF X30,3590,0.11
paracetamol,RedFarma,TAPSIN NOCTURNO x12 COMPRIMIDOS,1890,0.06
paracetamol,RedFarma,TAPSIN INSTAFLU x18 COMPRIMIDOS,3490,0.11
paracetamol,RedFarma,TAPSIN 1000SC ANALGESICO COMPRIMIDOS RECUBIERTOS 1G.20,6990,0.21
paracetamol,RedFarma,TAPSIN INSTAFLU COMPRIMIDOS 12 AMARILLO DIA / 6 AZULES NOCHE 18,3490,0.11
paracetamol,RedFarma,TAPSIN GOTAS 15 ML.,2990,0.09
paracetamol,RedFarma,CONGESTEX x10 CAPSULAS,9890,0.3
paracetamol,RedFarma,TRIO-VAL DIA/NOCHE COMPRIMIDOS 20,6690,0.2
paracetamol,RedFarma,TRIO-VAL COMPRIMIDOS  10,5190,0.16
paracetamol,RedFarma,ZAFIN COMPRIMIDOS RECUBIERTOS 28 DOSIS UNITARIA,22490,0.68
paracetamol,RedFarma,"PANADOL GOTAS PEDIATRICAS 80MG/0,8ML DE 30 ML",6290,0.19
paracetamol,RedFarma,PANADOL PEDIATRICO x20 COMPRIMIDOS DE 80MG,3590,0.11
paracetamol,RedFarma,TRIO-VAL GOTAS DE 15 ML,12790,0.39
paracetamol,RedFarma,CONGESTEX JARABE 120 ML,9390,0.28
paracetamol,RedFarma,GESIDOL x24 COMPRIMIDOS DE 500 MG,1490,0.05
paracetamol,RedFarma,ALGIAFIN JARABE DE 60 ML,3990,0.12
paracetamol,RedFarma,ALGIAFIN GOTAS DE 15 ML,3290,0.1
paracetamol,RedFarma,CONGESTEX GOTAS 15ML SOLUCION ORAL PARA ADMINISTRAR EN GOTAS SIN AZUCAR,12990,0.39
paracetamol,RedFarma,TAPSIN 1 GR. 20 SOB.,6990,0.21
paracetamol,RedFarma,TAPSIN FORTE x20 COMPRIMIDOS RECUBIERTOS,2990,0.09
paracetamol,RedFarma,TAPSIN SIN CAFEINA x16 COMPRIMIDOS DE 500 MG,1090,0.03
paracetamol,RedFarma,TAPSIN INFANTIL x16 COMPRIMIDOS DE 80 MG (2-6 AÑOS),1790,0.05
paracetamol,RedFarma,TAPSIN SIN CAFEINA x24 COMPRIMIDOS,1790,0.05
paracetamol,RedFarma,TAPSIN PERIODO x12 COMPRIMIDO (MUJER),1590,0.05
paracetamol,RedFarma,TAPSIN ROJO x12 COMPRIMIDOS,1390,0.04
paracetamol,RedFarma,TAPSIN NIÑOS x16 COMPRIMIDOS DE 160 MG (6-12 AÑOS),2490,0.08
paracetamol,RedFarma,TAPSIN M x10 COMPRIMIDOS RECUB,2490,0.08
paracetamol,RedFarma,PANADOL ADVANCE x10 COMPRIMIDOS RECUBIERTOS DE 500 MG,2090,0.06
paracetamol,RedFarma,PANADOL ADVANCE x50 COMPRIMIDOS DE 500 MG,5990,0.18
paracetamol,RedFarma,PANADOL EXTRA ADVANCE x14 COMPRIMIDOS,1990,0.06
paracetamol,RedFarma,ALIVIDOL x24 COMPRIMIDOS DE 50,1890,0.06
paracetamol,RedFarma,SINFLU x16 COMPRIMIDOS DE 500 MG,1190,0.04
paracetamol,RedFarma,SUPRACALM COMPRIMIDOS 1 GRAMO 20,9090,0.27
paracetamol,RedFarma,CRONUS COMPRIMIDOS 20,16290,0.49
paracetamol,Salcobrand,Kitadol 500 Mg. 24 Comprimidos,990,0.03
paracetamol,Salcobrand,Paracetamol (B) 500mg 16Com.,879,0.03
paracetamol,Salcobrand,Paracetamol 125mg 6Sup.,1407,0.04
paracetamol,Salcobrand,Xumadol 1g. 20 Comprimidos,8359,0.25
paracetamol,Salcobrand,Xumadol 1g 20 Sobres Efervescentes,8183,0.25
paracetamol,Salcobrand,Paracetamol 80mg 16Com.Mast.,2199,0.07
paracetamol,Salcobrand,Paracetamol 100mg/ml Gotas 15ml,1319,0.04
paracetamol,Salcobrand,Kitadol Duo Ibuprofeno Paracetamol 10 comprimidos,3079,0.09
paracetamol,Salcobrand,Paracetamol Pediatrico 125 Mg. 6 Supositorios,1231,0.04
paracetamol,Salcobrand,Paracetamol / Tramadol (B) 325/37.5mg x30 Comprimidos,7479,0.23
paracetamol,Salcobrand,Paracetamil 500 Mg. 16 Comprimidos,1143,0.03
paracetamol,Salcobrand,Paracetamol 80 Mg. 16 Comprimidos Masticables,1935,0.06
paracetamol,Salcobrand,Paracetamol 100mg/ml Gotas 15ml,1407,0.04
ácido+acetilsalicílico,Ahumada,Aspirina 500 Mg Caja 100comp,8145,0.25
ácido+acetilsalicílico,Ahumada,Aspirina 100 mg x 98 Comprimidos,5995,0.18
ácido+acetilsalicílico,Ahumada,Aspirina 100 mg x 42 Comprimidos,3995,0.12
ácido+acetilsalicílico,Ahumada,Sevedol x 12 Comprimidos,2995,0.09
ácido+acetilsalicílico,Ahumada,Aspirina 500 mg Adulto x 40 Comprimidos,2695,0.08
ácido+acetilsalicílico,Ahumada,Cafiaspirina x 40 Comprimidos,9795,0.3
ácido+acetilsalicílico,Ahumada,Nexium 40 mg x 28 Comprimidos Con Recubrimiento Entérico,46395,1.4
ácido+acetilsalicílico,Ahumada,Cardioaspirina EC 100 mg x 20 Comprimidos Con Recubrimiento Entérico,6995,0.21
ácido+acetilsalicílico,Ahumada,Acido Acetilsalic.100mg 100com.,3745,0.11
ácido+acetilsalicílico,Ahumada,Cardioaspirina EC 325 mg x 30 Comprimidos Con Recubrimiento Entérico,16245,0.49
ácido+acetilsalicílico,Ahumada,Cardioaspirina EC 100 mg x 50 Comprimidos Con Recubrimiento Entérico,11195,0.34
ácido+acetilsalicílico,Ahumada,Nexium 20 mg x 28 Comprimidos Con Recubrimiento Entérico,26995,0.82
ácido+acetilsalicílico,RedFarma,ACIDO ACETILSALICILICO BIOEQUIVALENTE COMPRIMIDOS 100 MG x100,2390,0.07
ácido+acetilsalicílico,RedFarma,DOLIDER 10 COMP.,2090,0.06
ácido+acetilsalicílico,RedFarma,OBLEAS CHINAS 5 (40),39600,1.2
ácido+acetilsalicílico,RedFarma,CAFIASPIRINA x10 COMPRIMIDOS,10790,0.33
ácido+acetilsalicílico,RedFarma,ASPIRINA FORTE x80 COMPRIMIDOS DE 650 MG,7790,0.24
ácido+acetilsalicílico,RedFarma,ASPIRINA ADULTO x40 COMPRIMIDOS DE 500 MG,2690,0.08
ácido+acetilsalicílico,RedFarma,ASPIRINA ADULTO x20 COMPRIMIDOS DE 500 MG,2480,0.08
ácido+acetilsalicílico,RedFarma,CARDIOASPIRINA x50 COMPRIMIDOS DE 100 MG,10350,0.31
ácido+acetilsalicílico,RedFarma,ACIDO ACETILSALICILICO BIOEQUIVALENTE COMPRIMIDOS 100 MG x100,2390,0.07
ácido+acetilsalicílico,RedFarma,DOLIDER 10 COMP.,2090,0.06
ácido+acetilsalicílico,RedFarma,OBLEAS CHINAS 5 (40),39600,1.2
ácido+acetilsalicílico,RedFarma,CAFIASPIRINA x10 COMPRIMIDOS,10790,0.33
ácido+acetilsalicílico,RedFarma,ASPIRINA FORTE x80 COMPRIMIDOS DE 650 MG,7790,0.24
ácido+acetilsalicílico,RedFarma,ASPIRINA ADULTO x40 COMPRIMIDOS DE 500 MG,2690,0.08
ácido+acetilsalicílico,RedFarma,ASPIRINA ADULTO x20 COMPRIMIDOS DE 500 MG,2480,0.08
ácido+acetilsalicílico,RedFarma,CARDIOASPIRINA x50 COMPRIMIDOS DE 100 MG,10350,0.31
ácido+acetilsalicílico,RedFarma,CARDIOASPIRINA x20 COMPRIMIDOS DE 100 MG,6090,0.18
ácido+acetilsalicílico,RedFarma,ASPIRINA PARA NINOS x42 COMPRIMIDOS DE 100MG,3990,0.12
ácido+acetilsalicílico,RedFarma,ASPIRINA x98 COMPRIMIDOS DE 100 MG,7890,0.24
ácido+acetilsalicílico,RedFarma,TAPSIN M x10 COMPRIMIDOS RECUB,2490,0.08
ácido+acetilsalicílico,RedFarma,HASSAPIRIN INFANTIL x30 COMPRIMIDOS DE 100 MG,2490,0.08
ácido+acetilsalicílico,RedFarma,CARDIOASPIRINA x30 COMPRIMIDOS RECUBRIMIENTO ENTERICO DE 325 MG,12990,0.39
ácido+acetilsalicílico,RedFarma,DISGREN AAS81 x30 COMPRIMIDOS DE 81 MG,2190,0.07
ácido+acetilsalicílico,RedFarma,OBLEAS CHINA SOBRE 5 UNIDADES,1490,0.05
ácido+acetilsalicílico,Salcobrand,Acido Acetilsalicilico 100 Mg. 100 Comprimidos,3519,0.11
ácido+acetilsalicílico,Salcobrand,Ac. Acetil Salicilico (B) 100mg 100 Comprimidos,3343,0.1
losartán,Ahumada,"Losartan + Hidroclorotiazida 50 mg_12,5 mg x 30 Comprimidos Recubiertos",5395,0.16
losartán,Ahumada,"Simperten-D 50 mg/12,5 mg x 30 Comprimidos Recubiertos",27395,0.83
losartán,Ahumada,Simperten 50 mg x 30 Comprimidos Recubiertos,7695,0.23
losartán,Ahumada,"Hyzaar 50 mg/12,5 mg x 30 Comprimidos Recubiertos",23895,0.72
losartán,Ahumada,Hyzaar Forte 100 mg/25 mg x 30 Comprimidos Recubiertos,19895,0.6
losartán,Ahumada,Simperten-D 100 mg/25 mg x 30 Comprimidos Recubiertos,29745,0.9
losartán,Ahumada,Cozaar 50 mg x 30 Comprimidos Recubiertos,22895,0.69
losartán,Ahumada,Cozaar 100 mg x 30 Comprimidos Recubiertos,23995,0.73
losartán,Ahumada,Corodin 100mg. Caja 30 Comp.,21195,0.64
losartán,Ahumada,Losapres 100 mg x 30 Comprimidos Recubiertos,19595,0.59
losartán,Ahumada,Corodin 50 mg x 30 Comprimidos Recubiertos,23095,0.7
losartán,Ahumada,Losapres 50 mg x 30 Comprimidos Recubiertos,26295,0.8
losartán,RedFarma,LOSARTAN POTASICO x30 COMPRIMIDOS RECUBIERTOS DE 50 MG,2290,0.07
losartán,RedFarma,LOSARTAN POTASICO CON HIDROCLOROTIAZIDA x30 COMPRIMIDOS DE 100/25 MG,3990,0.12
losartán,RedFarma,LOSARTAN POTASICO x30 COMPRIMIDOS RECUBIERTOS DE 50 MG,2290,0.07
losartán,RedFarma,LOSAPRES x30 COMPRIMIDOS RECUBIERTOS DE 100 MG,18290,0.55
losartán,RedFarma,LOSAPRES x30 COMPRIMIDOS DE 50 MG,23450,0.71
losartán,RedFarma,LOSAPRES-D 100/25 x30 COMPRIMIDOS,23890,0.72
losartán,RedFarma,"LOSAPRES-D 50/12,5 x30 COMPRIMIDOS",24890,0.75
losartán,RedFarma,LOSARTAN POTASICO x30 COMPRIMIDOS RECUBIERTOS DE 50 MG,2290,0.07
losartán,RedFarma,LOSARTAN POTASICO CON HIDROCLOROTIAZIDA x30 COMPRIMIDOS DE 100/25 MG,3990,0.12
losartán,RedFarma,LOSARTAN POTASICO x30 COMPRIMIDOS RECUBIERTOS DE 50 MG,2290,0.07
losartán,RedFarma,LOSAPRES x30 COMPRIMIDOS RECUBIERTOS DE 100 MG,18290,0.55
losartán,RedFarma,LOSAPRES x30 COMPRIMIDOS DE 50 MG,23450,0.71
losartán,RedFarma,LOSAPRES-D 100/25 x30 COMPRIMIDOS,23890,0.72
losartán,RedFarma,"LOSAPRES-D 50/12,5 x30 COMPRIMIDOS",24890,0.75
losartán,Salcobrand,Losartan (B) 50mg 30Com. Rec.,2287,0.07
losartán,Salcobrand,Losartan 50mg / Hidroclorotiazida 12.5 mg 30 Comprimidos,4839,0.15
losartán,Salcobrand,Losartan (B) 100mg 30Com. Rec.,7127,0.22
metformina,Ahumada,Metformina Clorhidrato 850mg. 60com.,2995,0.09
metformina,Ahumada,Trayenta 5 mg x 30 Comprimidos Recubiertos,47195,1.43
metformina,Ahumada,Metformina 850mg. Caja 30 Comp.Rec,2495,0.08
metformina,Ahumada,"Trayenta Duo 2,5 mg/500 mg x 60 Comprimidos Recubiertos",45195,1.37
metformina,Ahumada,Janumet 50 mg/850 mg x 56 Comprimidos Recubiertos,55395,1.68
metformina,Ahumada,Victoza 6 mg/mL x 1 Dispositivo Prellenado Solucion Inyectable,84595,2.56
metformina,Ahumada,"Trayenta Duo 2,5 mg/850 mg x 60 Comprimidos Recubiertos",46595,1.41
metformina,Ahumada,"Trayenta Duo 2,5 mg/1000 mg x 60 Comprimidos Recubiertos",47195,1.43
metformina,Ahumada,Galvus Met 50 mg/850 mg x 56 Comprimidos Recubiertos,53595,1.62
metformina,Ahumada,"Jardiance Duo 12,5 mg/1000 mg x 60 Comprimidos Recubiertos",47295,1.43
metformina,Ahumada,Galvus Met 50 mg/500 mg x 28 Comprimidos Recubiertos,32495,0.98
metformina,Ahumada,Galvus Met 50 mg/500 mg x 56 Comprimidos Recubiertos,58095,1.76
metformina,Ahumada,Janumet 50 mg/850 mg x 28 Comprimidos Recubiertos,35195,1.06
metformina,Ahumada,Janumet 50 mg/500 mg x 28 Comprimidos Recubiertos,34495,1.04
metformina,Ahumada,Hipoglucin DA 500 mg/5 mg x 30 Comprimidos Recubiertos,12695,0.38
metformina,Ahumada,"Jardiance Duo 12,5 mg/850 mg x 60 Comprimidos Recubiertos",47195,1.43
metformina,Ahumada,Janumet 50 mg/1000 mg x 28 Comprimidos Recubiertos,35095,1.06
metformina,Ahumada,Metformina LP 750 mg x 30 Comprimidos De Liberación Prolongada,9595,0.29
metformina,Ahumada,Metformina Clorhidrato LP 500 mg x 30 Comprimidos De Liberación Prolongada,6445,0.19
metformina,Ahumada,Janumet 50 mg/500 mg x 56 Comprimidos Recubiertos,56595,1.71
metformina,Ahumada,Janumet 50 mg/1000 mg x 56 Comprimidos Recubiertos,54395,1.65
metformina,Ahumada,Glaupax 850 Mg X 30comp Rec,6845,0.21
metformina,Ahumada,Glaupax 500 Mg X 30comp Rec,7695,0.23
metformina,Ahumada,GLAFORNIL 1000MG. CAJA 30 COMP.,26095,0.79
metformina,Ahumada,Glucophage Xr 500mg.Caja 30comp.,9395,0.28
metformina,Ahumada,Kombiglyze XR 5 mg/1000 mg x 28 Comprimidos Recubiertos de Liberación Extendida,55095,1.67
metformina,Ahumada,Galvus 50 mg x 28 Comprimidos,32595,0.99
metformina,Ahumada,Glafornil XR 500 mg x 30 Comprimidos De Liberación Prolongada,11195,0.34
metformina,Ahumada,Galvus 50 mg x 56 Comprimidos,47095,1.42
metformina,Ahumada,Galvus Met 50 mg/1000 mg x 56 Comprimidos Recubiertos,53995,1.63
metformina,Ahumada,Galvus Met 50 mg/1000 mg x 28 Comprimidos Recubiertos,32195,0.97
metformina,Ahumada,Glafornil 850 mg x 60 Comprimidos Recubiertos,22195,0.67
metformina,Ahumada,Galvus Met 50 mg/850 mg x 28 Comprimidos Recubiertos,37795,1.14
metformina,Ahumada,Glucophage Forte  850mg.Caja 30 Comp,14395,0.44
metformina,Ahumada,Janumet XR 50 mg/1000 mg x 56 Comprimidos De Liberación Porolongada,59895,1.81
metformina,Ahumada,Forxiga 10 mg x 28 Comprimidos Recubiertos,44895,1.36
metformina,Ahumada,Hipoglucin 850 mg x 30 Comprimidos Recubiertos,10095,0.31
metformina,Ahumada,"Kombiglyze XR 2,5 mg/1000 mg x 56 Comprimidos Recubiertos de Liberacion Extendida",55395,1.68
metformina,Ahumada,Xig Duo XR 5/1000 mg x 56 Comprimidos Recubiertos De Liberación Prolongada,43195,1.31
metformina,Ahumada,Hipoglucin 850 mg x 60 Comprimidos Recubiertos,17995,0.54
metformina,Ahumada,Glaupax XR 1000 mg x 30 Comprimidos de Liberación Prolongada,15095,0.46
metformina,Ahumada,Glaupax XR 750 mg x 30 Comprimidos Recubiertos De Liberación Prolongada,12795,0.39
metformina,Ahumada,Glaupax XR 500 mg x 30 Comprimidos Recubiertos De Liberación Prolongada,8995,0.27
metformina,Ahumada,Hipoglucin 1000 mg x 30 Comprimidos Recubiertos,19395,0.59
metformina,Ahumada,Glucovance 500/2.5 Caja 30 Comp.,19395,0.59
metformina,Ahumada,Glucovance 1000/5 30 Comprimidos.,25095,0.76
metformina,Ahumada,Hipoglucin LP 1000 mg x 60 Comprimidos Recubiertos Liberación Prolongada,25895,0.78
metformina,Ahumada,Xig Duo XR 10 mg/1000 mg x 28 Comprimidos Recubiertos De Liberación Prolongada,40195,1.22
metformina,Ahumada,Hipoglucin LP 1000 mg x 30 Comprimidos Recubiertos Liberación Prolongada,16895,0.51
metformina,Ahumada,Glemaz 4 mg x 30 Comprimidos,36495,1.1
metformina,Ahumada,Hipoglucin LP 500 mg x 60 Comprimidos De Liberación Prolongada,14395,0.44
metformina,Ahumada,Hipoglucin LP 750 mg x 60 Comprimidos De Liberación Prolongada,21995,0.67
metformina,Ahumada,Hipoglucin LP 500 mg x 30 Comprimidos De Liberación Prolongada,9695,0.29
metformina,Ahumada,Hipoglucin LP 750 mg x 30 Comprimidos De Liberación Prolongada,13895,0.42
metformina,Ahumada,Glucovance 500 mg/5 mg x 30 Comprimidos Recubiertos,19495,0.59
metformina,Ahumada,Glucosan Xr 750mg 60comp Rec,15495,0.47
metformina,Ahumada,Glucosan Xr 750mg 30comp Rec,10295,0.31
metformina,Ahumada,Glicenex SR 1000 mg x 30 Comprimidos de Liberacion Prolongada,11695,0.35
metformina,Ahumada,Glafornil 850 mg x 30 Comprimidos Recubiertos,15895,0.48
metformina,Ahumada,Glifortex 850mg. Caja 30 Comp.,12195,0.37
metformina,Ahumada,Glucophage 500mg. Caja 30 Comp.,7195,0.22
metformina,Ahumada,Glafornil XR 750 mg x 30 Comprimidos De Liberación Prolongada,21095,0.64
metformina,Ahumada,Glucophage 850mg. Caja 60 Comp.,24695,0.75
metformina,Ahumada,Glifortex XR 500 mg x 30 Comprimidos Recubiertos De Liberacion Prolongada,9195,0.28
metformina,Ahumada,Glifortex XR 750 mg x 30 Comprimidos Recubiertos De Liberacion Prolongada,13295,0.4
metformina,Ahumada,Jardiance 10 mg x 30 Comprimidos Recubiertos,37795,1.14
metformina,Ahumada,Jardiance 25 mg x 30 Comprimidos Recubiertos,45195,1.37
metformina,Ahumada,Glafornil 500 mg x 30 Comprimidos Recubiertos,10195,0.31
metformina,Ahumada,Glafornil XR 1000 mg x 30 Comprimidos De Liberación Prolongada,25395,0.77
metformina,Ahumada,Glimefor XR 750 mg x 30 Comprimidos De Liberacion Prolongada,11795,0.36
metformina,Ahumada,Glimefor XR 500 mg x 30 Comprimidos De Liberacion Prolongada,6995,0.21
metformina,Ahumada,Glicenex 850 mg x 30 Comprimidos Recubiertos,9995,0.3
metformina,RedFarma,METFORMINA CLORHIDRATO x30 COMPRIMIDOS RECUBIERTOS DE 850 MG,1690,0.05
metformina,RedFarma,METFORMINA CLORHIDRATO x30 COMPRIMIDOS RECUBIERTOS DE 850 MG,1690,0.05
metformina,RedFarma,METFORMINA CLORHIDRATO x60 COMPRIMIDOS RECUBIERTOS DE 850 MG,3290,0.1
metformina,RedFarma,METFORMINA CLORHIDRATO x30 COMPRIMIDOS RECUBIERTOS DE 850 MG,1690,0.05
metformina,RedFarma,METFORMINA CLORHIDRATO x60 COMPRIMIDOS RECUBIERTOS DE 850 MG,3290,0.1
metformina,RedFarma,METFORMINA x60 COMPRIMIDOS DE 850 MG,3290,0.1
metformina,RedFarma,GLIFORTEX x30 COMPRIMIDOS DE 850MG,8990,0.27
metformina,RedFarma,GLIFORTEX x60 COMPRIMIDOS DE 850MG,14490,0.44
metformina,RedFarma,METFORMINA CLORHIDRATO x30 COMPRIMIDOS RECUBIERTOS DE 850 MG,1690,0.05
metformina,RedFarma,METFORMINA CLORHIDRATO x30 COMPRIMIDOS RECUBIERTOS DE 850 MG,1690,0.05
metformina,RedFarma,METFORMINA CLORHIDRATO x60 COMPRIMIDOS RECUBIERTOS DE 850 MG,3290,0.1
metformina,RedFarma,METFORMINA CLORHIDRATO x30 COMPRIMIDOS RECUBIERTOS DE 850 MG,1690,0.05
